X0,DA_Forecast,ID*,L,W,S,Intraday
1,30.03,,46.06575,6.25675,0.0,36.1198652318214
1,30.09,,44.27125,5.59,0.0,32.6648142523364
1,28.62,,43.33775,5.08275,0.0,28.8359591628382
1,29.14,,43.79225,4.712,0.0,30.663983909416
1,29.4,,45.16625,4.6935,0.0,31.3367434238171
1,32.77,,49.12975,4.793,0.0,31.7500584
1,44.97,,58.05775,5.006,0.0005,47.5926353112942
1,56.0,,63.421,4.982,0.5285,54.5333883381164
1,59.06,,65.4105,4.564,4.992,53.2097920255451
1,48.46,,65.31825,3.75725,11.77475,35.5688568969845
1,34.45,,66.2325,3.19375,18.0955,28.3061260867984
1,30.44,,67.0405,3.88575,22.32575,27.7404870775348
1,29.14,,65.9525,4.83625,24.3635,26.6206372243882
1,30.02,,65.403,5.199,24.6845,22.2751908480614
1,28.81,,64.1425,4.97425,23.01275,19.4000385305506
1,31.38,,62.1725,4.6645,19.19675,22.9404763894693
1,36.26,,60.16225,4.4955,13.31625,28.5948133165829
1,44.48,,59.73775,3.94575,6.39425,37.3547653299766
1,51.57,,60.90425,3.33025,1.115,46.7425414213871
1,61.0,,64.3065,3.68725,0.008,64.3341804180418
1,55.0,,62.468,4.17825,0.0,56.9202930064418
1,44.95,,58.11175,4.237,0.0,45.9588183621423
1,39.96,,53.60575,3.93375,0.0,41.8838458008261
1,30.43,,49.15575,3.53875,0.0,35.3726378539493
1,31.37,36.1198652318214,46.0905,3.383,0.0,32.1907823470411
1,30.98,32.6648142523364,44.25975,3.25175,0.0,31.9709421882465
1,29.93,28.8359591628382,43.08525,3.237,0.0,28.3050337723742
1,30.15,30.663983909416,43.66525,3.2445,0.0,28.0489344404082
1,30.82,31.3367434238171,45.104,3.2285,0.0,30.1253846914557
1,32.3,31.7500584,49.0835,3.23725,0.0,32.7187017222052
1,44.68,47.5926353112942,57.866,3.177,0.00025,45.5795265206111
1,54.92,54.5333883381164,62.92825,3.13525,0.45025,58.2748252044578
1,60.0,53.2097920255451,64.75475,2.92625,4.5795,65.4127522171591
1,46.96,35.5688568969845,65.098,2.155,11.218,43.7815846020428
1,37.92,28.3061260867984,65.98425,1.452,17.135,31.9865103833135
1,32.01,30.44,66.2405,1.2425,21.259,30.4349626257135
1,30.07,29.14,65.1055,1.51325,23.568,28.2125144468905
1,28.65,30.02,53.431,1.82375,23.8025,26.1290879420307
1,28.91,28.81,52.414,2.00925,21.4425,25.6458489466744
1,29.6,31.38,57.86675,2.2565,17.494,27.8643334361188
1,32.02,36.26,58.7095,2.437,12.74175,31.1744210142664
1,44.68,44.48,58.68125,2.44275,6.02175,43.230532555603
1,48.1,51.57,58.92125,2.75575,0.922,51.0648189300411
1,55.0,61.0,61.64775,4.2255,0.0065,62.4090680250674
1,49.03,55.0,59.4255,5.3555,0.0,48.9995507520669
1,39.8,44.95,54.88,5.99025,0.0,32.844082681211
1,33.5,39.96,50.79375,6.3505,0.0,30.0608652916532
1,30.13,30.43,46.558,6.25125,0.0,27.9850053875895
1,26.75,32.1907823470411,43.17525,5.6545,0.0,23.3800330959062
1,26.26,31.9709421882465,40.9945,5.126,0.0,23.5327615477117
1,26.39,28.3050337723742,39.73825,4.5795,0.0,26.4243146214099
1,26.04,28.0489344404082,39.31675,4.166,0.0,26.5876875132052
1,24.77,30.1253846914557,39.31475,3.81625,0.0,29.4810840160031
1,25.49,32.7187017222052,38.9965,3.34975,0.0,30.0621894776613
1,24.03,45.5795265206111,39.36225,3.1435,0.0005,31.6676013785181
1,26.14,58.2748252044578,41.2105,3.0955,0.343,29.3183203683124
1,28.06,65.4127522171591,44.13975,3.07525,3.5075,32.0295295426291
1,26.4,43.7815846020428,46.7715,2.54175,8.9785,30.0242295209659
1,24.67,31.9865103833135,49.00475,1.62875,14.59875,26.869292076887
1,24.63,32.01,50.60625,1.3555,18.44525,23.1938282300224
