X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,FL,FW,FS,DayAhead
1,,,,,,,,184.263,25.027,0.0,30.03
1,,,,,,,,177.085,22.36,0.0,30.09
1,,,,,,,,173.351,20.331,0.0,28.62
1,,,,,,,,175.169,18.848,0.0,29.14
1,,,,,,,,180.665,18.774,0.0,29.4
1,,,,,,,,196.519,19.172,0.0,32.77
1,,,,,,,,232.231,20.024,0.002,44.97
1,,,,,,,,253.684,19.928,2.114,56.0
1,,,,,,,,261.642,18.256,19.968,59.06
1,,,,,,,,261.273,15.029,47.099,48.46
1,,,,,,,,264.93,12.775,72.382,34.45
1,,,,,,,,268.162,15.543,89.303,30.44
1,,,,,,,,263.81,19.345,97.454,29.14
1,,,,,,,,261.612,20.796,98.738,30.02
1,,,,,,,,256.57,19.897,92.051,28.81
1,,,,,,,,248.69,18.658,76.787,31.38
1,,,,,,,,240.649,17.982,53.265,36.26
1,,,,,,,,238.951,15.783,25.577,44.48
1,,,,,,,,243.617,13.321,4.46,51.57
1,,,,,,,,257.226,14.749,0.032,61.0
1,,,,,,,,249.872,16.713,0.0,55.0
1,,,,,,,,232.447,16.948,0.0,44.95
1,,,,,,,,214.423,15.735,0.0,39.96
1,,,,,,,,196.623,14.155,0.0,30.43
1,30.03,,,39.017916666666665,28.62,61.0,30.43,184.362,13.532,0.0,31.37
1,30.09,,,39.017916666666665,28.62,61.0,30.43,177.039,13.007,0.0,30.98
1,28.62,,,39.017916666666665,28.62,61.0,30.43,172.341,12.948,0.0,29.93
1,29.14,,,39.017916666666665,28.62,61.0,30.43,174.661,12.978,0.0,30.15
1,29.4,,,39.017916666666665,28.62,61.0,30.43,180.416,12.914,0.0,30.82
1,32.77,,,39.017916666666665,28.62,61.0,30.43,196.334,12.949,0.0,32.3
1,44.97,,,39.017916666666665,28.62,61.0,30.43,231.464,12.708,0.001,44.68
1,56.0,,,39.017916666666665,28.62,61.0,30.43,251.713,12.541,1.801,54.92
1,59.06,,,39.017916666666665,28.62,61.0,30.43,259.019,11.705,18.318,60.0
1,48.46,,,39.017916666666665,28.62,61.0,30.43,260.392,8.62,44.872,46.96
1,34.45,,,39.017916666666665,28.62,61.0,30.43,263.937,5.808,68.54,37.92
1,30.44,,,39.017916666666665,28.62,61.0,30.43,264.962,4.97,85.036,32.01
