X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,DayAhead
1,,,,,,,,30.03
1,,,,,,,,30.09
1,,,,,,,,28.62
1,,,,,,,,29.14
1,,,,,,,,29.4
1,,,,,,,,32.77
1,,,,,,,,44.97
1,,,,,,,,56.0
1,,,,,,,,59.06
1,,,,,,,,48.46
1,,,,,,,,34.45
1,,,,,,,,30.44
1,,,,,,,,29.14
1,,,,,,,,30.02
1,,,,,,,,28.81
1,,,,,,,,31.38
1,,,,,,,,36.26
1,,,,,,,,44.48
1,,,,,,,,51.57
1,,,,,,,,61.0
1,,,,,,,,55.0
1,,,,,,,,44.95
1,,,,,,,,39.96
1,,,,,,,,30.43
1,30.03,,,39.017916666666665,28.62,61.0,30.43,31.37
1,30.09,,,39.017916666666665,28.62,61.0,30.43,30.98
1,28.62,,,39.017916666666665,28.62,61.0,30.43,29.93
1,29.14,,,39.017916666666665,28.62,61.0,30.43,30.15
1,29.4,,,39.017916666666665,28.62,61.0,30.43,30.82
1,32.77,,,39.017916666666665,28.62,61.0,30.43,32.3
1,44.97,,,39.017916666666665,28.62,61.0,30.43,44.68
1,56.0,,,39.017916666666665,28.62,61.0,30.43,54.92
1,59.06,,,39.017916666666665,28.62,61.0,30.43,60.0
1,48.46,,,39.017916666666665,28.62,61.0,30.43,46.96
1,34.45,,,39.017916666666665,28.62,61.0,30.43,37.92
1,30.44,,,39.017916666666665,28.62,61.0,30.43,32.01
1,29.14,,,39.017916666666665,28.62,61.0,30.43,30.07
1,30.02,,,39.017916666666665,28.62,61.0,30.43,28.65
1,28.81,,,39.017916666666665,28.62,61.0,30.43,28.91
1,31.38,,,39.017916666666665,28.62,61.0,30.43,29.6
1,36.26,,,39.017916666666665,28.62,61.0,30.43,32.02
1,44.48,,,39.017916666666665,28.62,61.0,30.43,44.68
1,51.57,,,39.017916666666665,28.62,61.0,30.43,48.1
1,61.0,,,39.017916666666665,28.62,61.0,30.43,55.0
1,55.0,,,39.017916666666665,28.62,61.0,30.43,49.03
1,44.95,,,39.017916666666665,28.62,61.0,30.43,39.8
1,39.96,,,39.017916666666665,28.62,61.0,30.43,33.5
1,30.43,,,39.017916666666665,28.62,61.0,30.43,30.13
