X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,L,W,S,DayAhead
1,,,,,,,,46.06575,6.25675,0.0,30.03
1,,,,,,,,44.27125,5.59,0.0,30.09
1,,,,,,,,43.33775,5.08275,0.0,28.62
1,,,,,,,,43.79225,4.712,0.0,29.14
1,,,,,,,,45.16625,4.6935,0.0,29.4
1,,,,,,,,49.12975,4.793,0.0,32.77
1,,,,,,,,58.05775,5.006,0.0005,44.97
1,,,,,,,,63.421,4.982,0.5285,56.0
1,,,,,,,,65.4105,4.564,4.992,59.06
1,,,,,,,,65.31825,3.75725,11.77475,48.46
1,,,,,,,,66.2325,3.19375,18.0955,34.45
1,,,,,,,,67.0405,3.88575,22.32575,30.44
1,,,,,,,,65.9525,4.83625,24.3635,29.14
1,,,,,,,,65.403,5.199,24.6845,30.02
1,,,,,,,,64.1425,4.97425,23.01275,28.81
1,,,,,,,,62.1725,4.6645,19.19675,31.38
1,,,,,,,,60.16225,4.4955,13.31625,36.26
1,,,,,,,,59.73775,3.94575,6.39425,44.48
1,,,,,,,,60.90425,3.33025,1.115,51.57
1,,,,,,,,64.3065,3.68725,0.008,61.0
1,,,,,,,,62.468,4.17825,0.0,55.0
1,,,,,,,,58.11175,4.237,0.0,44.95
1,,,,,,,,53.60575,3.93375,0.0,39.96
1,,,,,,,,49.15575,3.53875,0.0,30.43
1,30.03,,,39.017916666666665,28.62,61.0,30.43,46.0905,3.383,0.0,31.37
1,30.09,,,39.017916666666665,28.62,61.0,30.43,44.25975,3.25175,0.0,30.98
1,28.62,,,39.017916666666665,28.62,61.0,30.43,43.08525,3.237,0.0,29.93
1,29.14,,,39.017916666666665,28.62,61.0,30.43,43.66525,3.2445,0.0,30.15
1,29.4,,,39.017916666666665,28.62,61.0,30.43,45.104,3.2285,0.0,30.82
1,32.77,,,39.017916666666665,28.62,61.0,30.43,49.0835,3.23725,0.0,32.3
1,44.97,,,39.017916666666665,28.62,61.0,30.43,57.866,3.177,0.00025,44.68
1,56.0,,,39.017916666666665,28.62,61.0,30.43,62.92825,3.13525,0.45025,54.92
1,59.06,,,39.017916666666665,28.62,61.0,30.43,64.75475,2.92625,4.5795,60.0
1,48.46,,,39.017916666666665,28.62,61.0,30.43,65.098,2.155,11.218,46.96
1,34.45,,,39.017916666666665,28.62,61.0,30.43,65.98425,1.452,17.135,37.92
1,30.44,,,39.017916666666665,28.62,61.0,30.43,66.2405,1.2425,21.259,32.01
1,29.14,,,39.017916666666665,28.62,61.0,30.43,65.1055,1.51325,23.568,30.07
1,30.02,,,39.017916666666665,28.62,61.0,30.43,53.431,1.82375,23.8025,28.65
1,28.81,,,39.017916666666665,28.62,61.0,30.43,52.414,2.00925,21.4425,28.91
1,31.38,,,39.017916666666665,28.62,61.0,30.43,57.86675,2.2565,17.494,29.6
1,36.26,,,39.017916666666665,28.62,61.0,30.43,58.7095,2.437,12.74175,32.02
1,44.48,,,39.017916666666665,28.62,61.0,30.43,58.68125,2.44275,6.02175,44.68
