X0,D1,D2,D3,L*,L-2d,L-7d,Forecast Load,FW,FS,FL_avg,FL_max,FL_min,Load
1,0.0,0.0,0.0,,,,43.1985,5.0245,0.0,56.887718750000005,67.00725,42.1585,46.06575
1,0.0,0.0,0.0,,,,43.1065,4.40875,0.0,56.887718750000005,67.00725,42.1585,44.27125
1,0.0,0.0,0.0,,,,42.1585,3.92475,0.0,56.887718750000005,67.00725,42.1585,43.33775
1,0.0,0.0,0.0,,,,42.47625,3.628,0.0,56.887718750000005,67.00725,42.1585,43.79225
1,0.0,0.0,0.0,,,,43.844,3.49775,0.0,56.887718750000005,67.00725,42.1585,45.16625
1,0.0,0.0,0.0,,,,47.7765,3.5095,0.0,56.887718750000005,67.00725,42.1585,49.12975
1,0.0,0.0,0.0,,,,56.31325,3.5335,0.00275,56.887718750000005,67.00725,42.1585,58.05775
1,0.0,0.0,0.0,,,,62.063,3.58575,0.597,56.887718750000005,67.00725,42.1585,63.421
1,0.0,0.0,0.0,,,,64.32,3.484,4.9545,56.887718750000005,67.00725,42.1585,65.4105
1,0.0,0.0,0.0,,,,64.73425,3.29225,11.2545,56.887718750000005,67.00725,42.1585,65.31825
1,0.0,0.0,0.0,,,,65.8005,3.0515,17.13675,56.887718750000005,67.00725,42.1585,66.2325
1,0.0,0.0,0.0,,,,67.00725,2.9685,21.28675,56.887718750000005,67.00725,42.1585,67.0405
1,0.0,0.0,0.0,,,,66.643,3.174,23.38775,56.887718750000005,67.00725,42.1585,65.9525
1,0.0,0.0,0.0,,,,65.73925,3.431,23.349,56.887718750000005,67.00725,42.1585,65.403
1,0.0,0.0,0.0,,,,64.15075,3.5625,21.43575,56.887718750000005,67.00725,42.1585,64.1425
1,0.0,0.0,0.0,,,,62.781,3.62225,17.5745,56.887718750000005,67.00725,42.1585,62.1725
1,0.0,0.0,0.0,,,,61.243,3.574,12.02775,56.887718750000005,67.00725,42.1585,60.16225
1,0.0,0.0,0.0,,,,60.64275,3.4945,5.77175,56.887718750000005,67.00725,42.1585,59.73775
1,0.0,0.0,0.0,,,,60.87575,3.5245,1.18925,56.887718750000005,67.00725,42.1585,60.90425
1,0.0,0.0,0.0,,,,62.82625,3.688,0.03125,56.887718750000005,67.00725,42.1585,64.3065
1,0.0,0.0,0.0,,,,60.8895,3.859,0.0,56.887718750000005,67.00725,42.1585,62.468
1,0.0,0.0,0.0,,,,56.56275,3.79175,0.0,56.887718750000005,67.00725,42.1585,58.11175
1,0.0,0.0,0.0,,,,52.34925,3.5455,0.0,56.887718750000005,67.00725,42.1585,53.60575
1,0.0,0.0,0.0,,,,47.8035,3.34475,0.0,56.887718750000005,67.00725,42.1585,49.15575
1,0.0,0.0,0.0,46.06575,,,44.823,3.3115,0.0,55.84546874999999,66.3945,41.90075,46.0905
1,0.0,0.0,0.0,44.27125,,,42.81275,3.06125,0.0,55.84546874999999,66.3945,41.90075,44.25975
1,0.0,0.0,0.0,43.33775,,,41.90075,2.8685,0.0,55.84546874999999,66.3945,41.90075,43.08525
1,0.0,0.0,0.0,43.79225,,,42.29175,2.85625,0.0,55.84546874999999,66.3945,41.90075,43.66525
1,0.0,0.0,0.0,45.16625,,,43.68375,2.82225,0.0,55.84546874999999,66.3945,41.90075,45.104
1,0.0,0.0,0.0,49.12975,,,47.4795,2.751,0.0,55.84546874999999,66.3945,41.90075,49.0835
1,0.0,0.0,0.0,58.05775,,,55.86675,2.63725,0.0025,55.84546874999999,66.3945,41.90075,57.866
1,0.0,0.0,0.0,63.421,,,61.4505,2.474,0.5425,55.84546874999999,66.3945,41.90075,62.92825
1,0.0,0.0,0.0,65.4105,,,63.6175,2.2805,4.699,55.84546874999999,66.3945,41.90075,64.75475
1,0.0,0.0,0.0,65.31825,,,64.37775,1.96325,10.8165,55.84546874999999,66.3945,41.90075,65.098
1,0.0,0.0,0.0,66.2325,,,65.461,1.677,16.56125,55.84546874999999,66.3945,41.90075,65.98425
1,0.0,0.0,0.0,67.00725,,,66.3945,1.56075,20.71525,55.84546874999999,66.3945,41.90075,66.2405
1,0.0,0.0,0.0,66.643,,,65.62875,1.6045,22.9605,55.84546874999999,66.3945,41.90075,65.1055
1,0.0,0.0,0.0,65.73925,,,64.018,1.73575,23.32875,55.84546874999999,66.3945,41.90075,53.431
1,0.0,0.0,0.0,64.15075,,,61.886,1.879,21.799,55.84546874999999,66.3945,41.90075,52.414
1,0.0,0.0,0.0,62.781,,,60.42175,1.9855,18.1025,55.84546874999999,66.3945,41.90075,57.86675
1,0.0,0.0,0.0,61.243,,,59.0985,2.1445,12.32825,55.84546874999999,66.3945,41.90075,58.7095
1,0.0,0.0,0.0,60.64275,,,58.60575,2.40325,5.82425,55.84546874999999,66.3945,41.90075,58.68125
1,0.0,0.0,0.0,60.87575,,,59.011,2.96625,1.08325,55.84546874999999,66.3945,41.90075,58.92125
