X0,W*,Forecast Wind,FW-1h,FW+1h,Wind
1,,5.0245,,4.40875,6.25675
1,,4.40875,5.0245,3.92475,5.59
1,,3.92475,4.40875,3.628,5.08275
1,,3.628,3.92475,3.49775,4.712
1,,3.49775,3.628,3.5095,4.6935
1,,3.5095,3.49775,3.5335,4.793
1,,3.5335,3.5095,3.58575,5.006
1,,3.58575,3.5335,3.484,4.982
1,,3.484,3.58575,3.29225,4.564
1,,3.29225,3.484,3.0515,3.75725
1,,3.0515,3.29225,2.9685,3.19375
1,,2.9685,3.0515,3.174,3.88575
1,,3.174,2.9685,3.431,4.83625
1,,3.431,3.174,3.5625,5.199
1,,3.5625,3.431,3.62225,4.97425
1,,3.62225,3.5625,3.574,4.6645
1,,3.574,3.62225,3.4945,4.4955
1,,3.4945,3.574,3.5245,3.94575
1,,3.5245,3.4945,3.688,3.33025
1,,3.688,3.5245,3.859,3.68725
1,,3.859,3.688,3.79175,4.17825
1,,3.79175,3.859,3.5455,4.237
1,,3.5455,3.79175,3.34475,3.93375
1,,3.34475,3.5455,3.3115,3.53875
1,6.25675,3.3115,3.34475,3.06125,3.383
1,5.59,3.06125,3.3115,2.8685,3.25175
1,5.08275,2.8685,3.06125,2.85625,3.237
1,4.712,2.85625,2.8685,2.82225,3.2445
1,4.6935,2.82225,2.85625,2.751,3.2285
1,4.793,2.751,2.82225,2.63725,3.23725
1,5.006,2.63725,2.751,2.474,3.177
1,4.982,2.474,2.63725,2.2805,3.13525
1,4.564,2.2805,2.474,1.96325,2.92625
1,3.75725,1.96325,2.2805,1.677,2.155
1,3.19375,1.677,1.96325,1.56075,1.452
1,2.9685,1.56075,1.677,1.6045,1.2425
1,3.174,1.6045,1.56075,1.73575,1.51325
1,3.431,1.73575,1.6045,1.879,1.82375
1,3.5625,1.879,1.73575,1.9855,2.00925
1,3.62225,1.9855,1.879,2.1445,2.2565
1,3.574,2.1445,1.9855,2.40325,2.437
1,3.4945,2.40325,2.1445,2.96625,2.44275
1,3.5245,2.96625,2.40325,3.755,2.75575
1,3.688,3.755,2.96625,4.32075,4.2255
1,3.859,4.32075,3.755,4.5505,5.3555
1,3.79175,4.5505,4.32075,4.56975,5.99025
1,3.5455,4.56975,4.5505,4.489,6.3505
1,3.34475,4.489,4.56975,4.189,6.25125
1,3.383,4.189,4.489,3.87475,5.6545
1,3.25175,3.87475,4.189,3.53225,5.126
1,3.237,3.53225,3.87475,3.283,4.5795
1,3.2445,3.283,3.53225,3.119,4.166
1,3.2285,3.119,3.283,3.11525,3.81625
1,3.23725,3.11525,3.119,3.188,3.34975
1,3.177,3.188,3.11525,3.15825,3.1435
1,3.13525,3.15825,3.188,2.87975,3.0955
1,2.92625,2.87975,3.15825,2.26325,3.07525
1,2.155,2.26325,2.87975,1.7185,2.54175
1,1.452,1.7185,2.26325,1.48925,1.62875
1,1.56075,1.48925,1.7185,1.49225,1.3555
1,1.6045,1.49225,1.48925,1.59,1.425
1,1.73575,1.59,1.49225,1.63375,1.6205
1,1.879,1.63375,1.59,1.578,1.63075
1,1.9855,1.578,1.63375,1.46975,1.6715
1,2.1445,1.46975,1.578,1.43875,1.78025
1,2.40325,1.43875,1.46975,1.66475,1.7765
1,2.96625,1.66475,1.43875,2.147,1.9495
1,3.755,2.147,1.66475,2.45175,2.429
1,4.32075,2.45175,2.147,2.34125,2.60225
1,4.5505,2.34125,2.45175,2.18025,2.378
1,4.56975,2.18025,2.34125,2.10925,2.12975
1,4.489,2.10925,2.18025,2.541,2.05375
1,5.6545,2.541,2.10925,2.628,1.99625
1,5.126,2.628,2.541,2.488,1.93075
1,4.5795,2.488,2.628,2.30125,2.08
1,4.166,2.30125,2.488,2.27975,2.2865
1,3.81625,2.27975,2.30125,2.424,2.41175
1,3.34975,2.424,2.27975,2.635,2.59825
1,3.1435,2.635,2.424,2.79725,3.06475
1,3.0955,2.79725,2.635,2.712,3.443
1,3.07525,2.712,2.79725,2.216,3.43375
1,2.54175,2.216,2.712,1.87225,2.83725
1,1.62875,1.87225,2.216,1.76725,1.87325
1,1.48925,1.76725,1.87225,1.796,1.728
1,1.49225,1.796,1.76725,1.918,2.079
1,1.59,1.918,1.796,1.9785,2.36475
